规范番号,系列,标题,AsiaMonstr文章日期,AsiaMonstr详情页,当前官网目录状态,官方资源HEAD地址,HTTP状态,Content-Type,Content-Length,历史记录位置,核查时间,确认结果,说明
GHOR-8,GHOR,GHOR-08 Heroine Cutie Battle Pink Feather VS Evil Lady,"February 18, 2016",https://www.asiamonstr.com/giga/ghor-08-heroine-cutie-battle-pink-feather-vs-evil-lady-hitomi-maisaka-miori-hara.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghor/ghor08/pac_s.jpg,200,image/jpeg,126366,,2026-09-12T21:44:42+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-1,GHPM,GHPM-01 Triple Soldier,"June 14, 2015",https://www.asiamonstr.com/giga/ghpm-01-triple-soldier-an-mizuki.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm01/pac_s.jpg,200,image/jpeg,102525,,2026-09-12T21:44:43+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-12,GHPM,GHPM-12 Fantastic Ai,"July 19, 2015",https://www.asiamonstr.com/giga/ghpm-12-fantastic-ai-ai-uehara.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm12/pac_s.jpg,200,image/jpeg,63946,,2026-09-12T21:44:43+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-30,GHPM,GHPM-30 Non-Transforming Heroine Diana,"August 15, 2015",https://www.asiamonstr.com/giga/ghpm-30-non-transforming-heroine-diana-ai-uehara.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm30/pac_s.jpg,200,image/jpeg,90924,,2026-09-12T21:44:43+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-38,GHPM,"GHPM-38 Heroine 4 Short Episode – Sexy Mask, Fontaine","August 26, 2015",https://www.asiamonstr.com/giga/ghpm-38-heroine-4-short-episode-sexy-mask-fontaine-sailor-forte-yui-misaki-miori-hara-hitomi-maisaka.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm38/pac_s.jpg,200,image/jpeg,116260,,2026-09-12T21:44:44+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-41,GHPM,GHPM-41 Tied Up Heroine –Wonder Lady,"September 6, 2015",https://www.asiamonstr.com/giga/ghpm-41-tied-up-heroine-wonder-lady-reiko-kobayakawa.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm41/pac_s.jpg,200,image/jpeg,94105,,2026-09-12T21:44:44+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-50,GHPM,GHPM-50 Sailor Gemini Premier and Aquas Insult Part,"September 20, 2015",https://www.asiamonstr.com/giga/ghpm-50-sailor-gemini-premier-and-aquas-insult-part-airu-minami-emiri-takayama.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm50/pac_s.jpg,200,image/jpeg,104494,,2026-09-12T21:44:44+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-64,GHPM,GHPM-64 Heroine Twisty Bondage Sailor Heroines Sailor Angelina,"November 3, 2015",https://www.asiamonstr.com/giga/ghpm-64-heroine-twisty-bondage-sailor-heroines-sailor-angelina-sailor-mask-aurora-jewel-princess-rina-utimura.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm64/pac_s.jpg,200,image/jpeg,107177,,2026-09-12T21:44:45+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-78,GHPM,GHPM-78 Heroine Twisty Bondage Miss Heart,"November 26, 2015",https://www.asiamonstr.com/giga/ghpm-78-heroine-twisty-bondage-miss-heart-nozomi-haduki.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm78/pac_s.jpg,200,image/jpeg,102647,,2026-09-12T21:44:45+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
GHPM-8,GHPM,GHPM-08 Heroine Twisty Bondage,"July 6, 2015",https://www.asiamonstr.com/giga/ghpm-08-heroine-twisty-bondage-nozomi-haduki.html,完整扫描未收录,https://www.giga-web.jp/db_titles/ghpm/ghpm08/pac_s.jpg,200,image/jpeg,125651,,2026-09-12T21:44:45+08:00,确认当前官网目录已移除（官方资源残留）,完整官网目录未收录该番号；官网域名下的历史封面资源仍以图像响应。
